ward_id,ward_name,latitude,longitude,area_km2,primary_drain_km,secondary_drain_km,tertiary_drain_km,total_drain_km,drainage_index
3,Atturu,13.10368062286781,77.56102166179281,8.2692,0.0,3.243192656173719,13.522387782745785,16.765580438919503,2.0274730855366303
17,Chikkasandra,13.065011861382073,77.50395022773392,3.9588,5.044115589457227,4.9724578832705095,8.064881633641496,18.081455106369233,4.567408079814396
15,Kammagondanahalli,13.075899770095015,77.52527635436591,5.7196,12.646528266048552,5.664224775419771,8.994144570707174,27.3048976121755,4.773917339005437
16,Mallasandra,13.056143643803516,77.5208281680356,3.4382,5.627257569078759,1.4644728171304227,7.20191547892955,14.293645865138732,4.1573049459422755
18,Bagalakunte,13.053548866496643,77.50109422129772,1.7646,0.0,2.1845824376451928,3.0545010091874563,5.239083446832649,2.9689920927307316
19,T Dasarahalli,13.046205557571053,77.5126353973984,1.22,1.6035608268166135,1.4644728171304227,2.954598030705752,6.0226316746527875,4.936583339879334
37,Peenya,13.03175900713692,77.53241391920288,5.1805,5.3314630217751,4.528462913898826,15.7279522623789,25.587878198052827,4.939268062552423
20,Nalagadarenahalli,13.038650999062606,77.50453818140109,3.0018,7.1597146030744385,1.76573196102092,5.749099488112282,14.67454605220764,4.888582201415032
21,Chokkasandra,13.02595763083103,77.5180424595005,1.9723,1.6416115150926767,4.4740814530484485,4.041307358160112,10.157000326301237,5.149825242762884
67,Ganga Nagar,13.022599104720125,77.58935310781962,0.9681,0.0,0.0,0.0,0.0,0.0
22,Peenya Industrial Area,13.020426201213734,77.5050946101904,4.5138,4.672738814442971,4.553653813890433,14.736791703751733,23.963184332085135,5.308871534424462
23,Rajagopal Nagar,13.01162459039078,77.51369769555795,0.9717,0.0,2.9377606283977076,2.9040137877893493,5.841774416187057,6.011911511975978
63,Hebbala,13.03342453054508,77.59190514694993,1.3286,1.687189192162832,0.0,1.5194427695892905,3.206631961752122,2.413542045575886
24,Hegganahalli,13.003581535955501,77.51049170185223,1.6513,0.0,2.9377606283977076,3.0909572473238325,6.02871787572154,3.6508919492045906
25,Sunkadakatte,12.997440803590377,77.50109614321585,1.1668,0.0,0.7654905211365285,3.609391400715693,4.3748819218522215,3.749470279269987
26,Dodda Bidarakallu,13.027697754452214,77.48628798506216,8.0221,15.03816796610291,6.545937532218736,15.623650739267644,37.20775623758929,4.638156622030302
30,Nagadevanahalli,12.940155686717915,77.48952532773471,3.5525,5.881491894073334,4.552439440879715,8.783673927042306,19.217605261995352,5.409600355241478
27,Lingadheeranahalli,13.002054981881585,77.4855079616441,5.4019,7.245181233596305,1.4493387178242905,11.557090314876874,20.25161026629747,3.7489791122193057
28,Herohalli,12.985248175359729,77.49094028888106,4.1356,5.37942801956967,3.842697211501974,9.950408977288204,19.17253420835985,4.635974032391878
29,Ullalu,12.965281457937682,77.48090784482463,6.9131,14.206396516520215,2.771833229978452,15.188765997394976,32.166995743893644,4.653049390851231
35,Yeshwanthpura,13.037412352566978,77.55308036069938,1.5373,7.071630377574094,0.6799711952530099,4.214103273396416,11.96570484622352,7.783584756536473
31,Bande Mutt,12.910364701517139,77.47453460781499,6.5188,14.706132252252772,0.46745290544999246,17.67317787911445,32.846763036817215,5.0387744733412925
36,Jalahalli,13.046423575267198,77.53933911677073,5.1693,4.8340884815586795,0.0,5.234461645521025,10.068550127079703,1.9477589087651528
52,Shakthi Ganapathi Nagar,12.994440946196411,77.53191722168624,0.735,9.92534457401189,0.0,1.0917677677710427,11.017112341782932,14.989268492221676
32,Kengeri,12.920172397813108,77.49446771351533,5.2142,8.665512444613075,7.092478252893349,11.954166595176348,27.71215729268277,5.314747668421383
33,Hemmigepura,12.879334660866553,77.5141270759882,31.0968,32.61009414439528,11.644743102956218,63.143941930780535,107.39877917813203,3.453692314904814
34,Jp Park,13.030777247195577,77.55209432648068,1.066,7.071630377574094,3.801182445010126,2.6511059875888043,13.523918810173024,12.686603011419347
41,Kottegepalya,12.987017825207037,77.51596481523724,3.2775,9.92534457401189,3.083519257065843,11.070160751833406,24.07902458291114,7.346765700354276
53,Vrisabhavathi Nagar,12.98913148774576,77.52583648789513,0.8534,0.0,0.0,1.0715594347031578,1.0715594347031578,1.2556356160102622
70,Kushal Nagar,13.01623933121013,77.61545267728091,0.5513,0.0,2.1648203725148436,0.0,2.1648203725148436,3.926755618564926
42,Srigandhadakaval,12.9840278133516,77.50375563640078,3.3627,5.37942801956967,0.25842796721703143,8.25967732489168,13.89753331167838,4.132849588627704
54,Mattikere,13.035428835235386,77.56217251243473,0.8767,7.071630377574094,0.0,3.252507971972359,10.324138349546452,11.776135906862612
55,Malleswaram,13.022548499504481,77.55927821754769,0.7971,0.0,3.121211249757116,2.6567643142105375,5.7779755639676535,7.248746159788801
43,Malathalli,12.96117179982162,77.49683150002971,4.2221,13.39079967827223,3.317509921586949,13.622511391533816,30.330820991392997,7.183823450745599
44,Jnana Bharathi Ward,12.944524060672139,77.51299500237627,9.7103,18.833715849509595,6.224767069074619,26.26317497421521,51.32165789279942,5.2852803613482
45,Rajarajeshwari Nagar,12.914925438513539,77.52116240662279,7.9119,22.514692679031633,15.178019946739104,13.605776025885604,51.29848865165634,6.483712970545171
51,Shankar Matt,12.997973944627374,77.5334979951009,0.6794,9.92534457401189,0.5965156628931649,2.26854489658987,12.790405133494923,18.826030517360795
71,Muneshwara Nagar,13.01530952873827,77.61105847989863,0.5026,0.0,5.694947957655527,0.0,5.694947957655527,11.330974846111275
